4_finetune.py:113: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
total loss: tensor(132912.7500, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4964.7817, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2651.7917, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1633.1305, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11419.3477, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7602.5039, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3303.0513, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12613.7549, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6562.9194, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4501.3003, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6226.1055, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3209.3550, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(33073.8125, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11959.2959, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7994.3667, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10148.0625, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9060.7490, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2823.5837, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11217.2305, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7876.1074, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(62323.4961, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(19284.0449, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(17246.9297, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2572.5581, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1986.9575, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4359.9907, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5190.0498, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9441.0254, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2555.5959, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2289.6152, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4129.7627, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6185.8228, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7467.4941, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4726.1323, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2332.5869, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1642.5569, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12533.1230, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3425.3579, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2497.2273, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3796.6338, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3223.8569, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2445.7041, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2878.2571, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2842.8335, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2408.9089, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(238927.5156, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3073.9175, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1475.5190, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4717.1104, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7862.3589, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5509.6753, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5319.5977, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3756.9185, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(16631.7578, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(21137.7031, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(474356.6250, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4104.1025, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3307.4268, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(15711.4814, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6485.4482, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2645.2595, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1743.0493, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1720.2170, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2086.7361, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5893.4673, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(38982.0273, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4069.4302, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5692.9155, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4379.6904, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3133.8269, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2178.4292, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2338.9312, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1335.5811, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2417.3232, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(28572.0801, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3395.8831, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4525.0010, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1709.1918, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14460.6211, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11649.5635, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4858.3008, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2019.8878, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2018.9810, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6475835.5000, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1847.0159, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4331.3442, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8322.7148, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1914.1771, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(83208.2656, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4939.2832, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1924.3750, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3427.0781, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2487.0381, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6525.6025, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3473.9614, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2863.4670, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7322.6675, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4378.2803, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1791.2822, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4830.7778, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2943.4065, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4100.7744, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6683.9336, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8722.7578, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12407.7480, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(30018.4941, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1759.6700, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1582.5822, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8946.5898, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4915.8848, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(16113.9600, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1883.7935, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7893.7480, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3946.3086, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4325.1143, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3752.1104, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7236.4468, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(21996.7793, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4738.8906, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4508.4614, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1701.0167, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(13648.4639, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8692.8877, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4437.8892, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4152.8213, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5841.2534, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6040.6758, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10277.7314, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3082.7566, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(74907.6172, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3481.3101, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(34976.9805, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2639.4509, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7509.2754, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3699.0439, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3353.0159, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11850.3418, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4053.2231, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5540.3125, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3999.1348, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(45485.1016, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3430.9163, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2572.1001, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4463.1611, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8344.0059, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5603.7974, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5744.4614, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1939.1680, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12490.2832, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2297.8923, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2558.2153, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1755.9097, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4638.6675, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2571.1907, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1961.8964, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7833.6270, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4442.0815, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(17383.2363, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7748.3760, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7231.6196, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9854.3105, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1897.9047, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(16920.3320, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2731.4561, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3804.6333, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1879.2188, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2459.2239, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(19618.6641, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2679.1072, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1215.1333, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(16230.3027, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3006.0605, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3584.3396, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7513.7354, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2640.9429, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(19031.9238, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11258.8301, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3069.7166, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4535.4775, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3120.3730, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2420.3726, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5194.5293, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14284.4258, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(13209.2080, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12080.7285, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4054.8833, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2335.1069, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8461.3359, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(33731.4102, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(18282.6973, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3912.9048, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1508.1177, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7182.4282, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6428.7520, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5216.6958, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5398.4951, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6787.2285, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10210.5889, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4292.5127, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3719.8613, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10256.3672, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2759.6809, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10758.9492, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5009.8525, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3047.7849, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3731.7322, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4096.9604, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5874.4087, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5658.9238, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(12782.6631, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5256.6382, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5369.6816, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14659.1914, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4230.6401, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1867.3347, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4389.2612, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3760.4915, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6596.0737, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7634.5254, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6691.8193, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4630.3701, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2406.7188, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2040.2587, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2454.3496, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2531.7195, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11303.1631, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4044.1025, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3077.0229, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3066.0073, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4305.5029, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2385.4133, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6466.2378, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3954.6064, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3155.9751, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2384.0706, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3010.0566, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4907.5513, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5080.2344, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5891.4302, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3108.8228, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1329.1312, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(30493.0781, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(39209.9102, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2506.1326, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3447.4829, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10167.4990, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4458.9399, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5242.9839, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2571.0457, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4009.7581, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5453.0020, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4906.3457, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(13836.4170, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5177.9746, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5388.0845, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1717.7673, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(84762.0078, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8242.9717, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9416.9902, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(106335.3828, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3838.4580, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3188.0027, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5492.4321, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7055.7344, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1356.7096, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(71950.5000, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(123385.0625, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3265.0747, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(401785.3750, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8504.5605, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14996.5713, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5203.5566, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6139.9214, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2210.3979, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1876.9250, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2692.7332, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4287.4463, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4246.8862, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3197.2505, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7834.1919, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5495.0571, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3723.5801, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4722.1943, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2256.8779, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7616.9404, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3176.7373, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2748.0669, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2989.7615, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3505.2144, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4218.3667, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(87176.6250, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11177.2207, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2590.6736, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4257.8398, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2726.7285, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3923.2231, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2013.1489, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14860.6641, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8477.5146, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2458.2375, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3554.8120, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3865.0178, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2286.8877, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5185.6069, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3807.5796, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4715.3193, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3016.1633, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3420.1541, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1919.0773, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1785.1467, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5796.5146, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3347.4775, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1341070.8750, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2468.4617, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2540.3772, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(1968.8459, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(313289.4688, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10475.1973, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(35262.2539, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3635.3660, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4848.7812, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7880.8799, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(24968.8477, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7561.7861, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6908.6406, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4494.4468, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4624.7397, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(15182.6455, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4138.5303, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3479.9060, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2383.2563, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3460.0894, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4903.7334, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6737.3911, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(14584.7422, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2819.2590, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5930.2764, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6508.0913, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4233.8198, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4773.8872, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3995.0649, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8467.9355, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4195.4448, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(56419.6797, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5737.9658, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8004.5361, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(8815.2773, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(2350.1165, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4785.2637, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4006.6467, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3193.4233, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(4048.0391, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(10145.4824, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(103345.2109, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(17114.5332, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6610.5469, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5994.3345, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7515.8247, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(11253.3213, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5143.6201, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(6124.3911, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5653.2651, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(7011.2871, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(9112.0820, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(5192.3662, device='cuda:3', grad_fn=<DivBackward0>)
total loss: tensor(3694.1985, device='cuda:3', grad_fn=<DivBackward0>)
